Counts of COVID-19-associated Hospitalizations by Age from the COVID-NET Network (data downloaded on 10/27/2021)Centers for Disease Control and Prevention
YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020-21,2020-10,0,0,10,7,17
2020-21,2020-11,0,0,50,79,83
2020-21,2020-12,0,3,253,286,413
2020-21,2020-13,6,5,634,793,1058
2020-21,2020-14,11,11,654,1022,1401
2020-21,2020-15,9,7,638,906,1451
2020-21,2020-16,11,8,730,952,1528
2020-21,2020-17,10,14,764,820,1502
2020-21,2020-18,11,20,770,852,1389
2020-21,2020-19,9,21,732,773,1138
2020-21,2020-20,13,15,705,713,1043
2020-21,2020-21,17,21,729,666,959
2020-21,2020-22,14,25,633,525,783
2020-21,2020-23,16,18,518,427,589
2020-21,2020-24,14,14,463,344,466
2020-21,2020-25,15,10,465,364,433
2020-21,2020-26,14,22,576,413,443
2020-21,2020-27,10,20,730,523,654
2020-21,2020-28,20,29,882,708,857
2020-21,2020-29,15,30,916,751,921
2020-21,2020-30,23,22,784,721,912
2020-21,2020-31,16,20,727,646,830
2020-21,2020-32,13,21,687,559,761
2020-21,2020-33,12,23,600,524,675
2020-21,2020-34,12,24,515,486,649
2020-21,2020-35,11,30,490,354,538
2020-21,2020-36,19,20,397,345,512
2020-21,2020-37,7,18,389,344,489
2020-21,2020-38,9,23,378,315,506
2020-21,2020-39,15,13,402,376,567
2020-21,2020-40,9,19,424,383,582
2020-21,2020-41,9,21,472,482,779
2020-21,2020-42,13,26,576,511,889
2020-21,2020-43,10,25,591,718,1070
2020-21,2020-44,14,31,718,815,1373
2020-21,2020-45,24,52,965,1063,1799
2020-21,2020-46,22,58,1148,1351,2472
2020-21,2020-47,28,36,1223,1494,2972
2020-21,2020-48,26,48,1270,1524,3096
2020-21,2020-49,41,51,1325,1583,3230
2020-21,2020-50,44,43,1405,1624,3295
2020-21,2020-51,33,44,1270,1593,3245
2020-21,2020-52,36,56,1207,1591,3318
2020-21,2020-53,29,52,1289,1608,3356
2020-21,2021-1,38,69,1385,1766,3472
2020-21,2021-2,36,57,1288,1588,3018
2020-21,2021-3,29,52,1111,1375,2605
2020-21,2021-4,25,61,945,1144,2143
2020-21,2021-5,22,45,829,964,1868
2020-21,2021-6,20,42,728,756,1296
2020-21,2021-7,19,44,625,683,1167
2020-21,2021-8,11,34,610,656,989
2020-21,2021-9,14,25,576,600,791
2020-21,2021-10,22,19,591,643,800
2020-21,2021-11,22,38,671,758,791
2020-21,2021-12,20,37,763,884,933
2020-21,2021-13,26,37,968,917,879
2020-21,2021-14,28,36,1173,1097,972
2020-21,2021-15,14,43,1137,1132,1007
2020-21,2021-16,31,48,1060,944,914
2020-21,2021-17,21,49,965,832,779
2020-21,2021-18,14,53,842,747,701
2020-21,2021-19,28,36,721,558,518
2020-21,2021-20,20,26,606,433,504
2020-21,2021-21,16,30,489,335,344
2020-21,2021-22,14,31,342,272,269
2020-21,2021-23,11,14,330,199,212
2020-21,2021-24,5,15,263,160,181
2020-21,2021-25,4,20,232,154,167
2020-21,2021-26,8,14,229,151,143
2020-21,2021-27,14,15,334,202,201
2020-21,2021-28,9,24,406,250,298
2020-21,2021-29,21,18,579,398,376
2020-21,2021-30,18,26,814,601,618
2020-21,2021-31,30,48,1118,760,824
2020-21,2021-32,32,51,1250,970,1061
2020-21,2021-33,39,60,1344,1064,1242
2020-21,2021-34,45,65,1383,1125,1389
2020-21,2021-35,50,67,1399,1126,1380
2020-21,2021-36,57,70,1187,1092,1305
2020-21,2021-37,44,62,1001,921,1228
2020-21,2021-38,37,62,945,871,1164
2020-21,2021-39,40,57,819,740,1085

"The Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET) hospitalization data are preliminary and subject to change as more data become available. In particular, case counts for recent hospital admissions are subject to lag. As data are received each week, prior case counts are updated accordingly."
"COVID-NET conducts population-based surveillance for laboratory-confirmed COVID-19-associated hospitalizations in children (less than 18 years of age) and adults. COVID-NET covers nearly 100 counties in the 10 Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and four Influenza Hospitalization Surveillance Project (IHSP) states (IA, MI, OH, and UT)."
